providerName	opened	reason	disposition	conclusion	amountPayed	insuranceDate
Fidelity National Title Insurance Company	05-09-2016	Unfair Claims Practice	Contract Provision	Furnished Information	21069	14-08-2013
Plymouth Rock Assurance Corporation	05-10-2016	Unfair Claims Practice	Additional Money Received	Furnished Information	21070	19-12-2014
Citizens Insurance Company of America	05-11-2016	Marketing-Sales	Policy Not In Force	Furnished Information	21066	01-04-2014
CMFG Life Insurance Company	05-12-2016	Unfair Claims Practice	Contract Provision	Unjustified	11054	24-06-2013
Ohio Security Insurance Company	05-13-2016	Unfair Claims Practice	Contract Provision	Furnished Information	21064	12-06-2013
National Casualty Company	09-25-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21053	18-03-2014
Colonial Penn Life Insurance Company	01-11-2018	Marketing-Sales	Corrective Action	Justified	9063	19-09-2017
Colony Specialty Insurance Company	05-26-2016	Unfair Claims Practice	Contract Provision	Unjustified	11067	11-06-2013
Horace Mann Property & Casualty Insurance Company	03-20-2018	Underwriting	Pol Restored-Reinstated	Unjustified	11087	05-11-2017
Columbian Life Insurance Company	06-13-2016	Unfair Claims Practice	Corrective Action	Justified	9064	27-03-2016
Mid-Century Insurance Company	06-16-2016	Unfair Claims Practice	Claim Settled	Justified	9057	26-07-2016
Combined Insurance Company of America	06-20-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21073	06-05-2014
Hartford Underwriters Insurance Company	06-24-2016	Marketing-Sales	Furnished Information	Furnished Information	21075	22-12-2017
Wright National Flood Insurance Company	06-29-2016	Unfair Claims Practice	External Review Info Sent	Furnished Information	21079	15-07-2013
Commonwealth Annuity and Life Insurance Company	06-30-2016	Utilization Review	Coverage Granted	Voluntary Reconsider	20078	18-11-2016
General Insurance Company of America	06-30-2016	Unfair Claims Practice	Contract Provision	Furnished Information	21069	24-10-2016
Patrons Mutual Insurance Company of Connecticut	01-09-2018	Underwriting	Cancellation Upheld	Unjustified	11076	28-12-2014
Virginia Surety Company Inc.	07-20-2016	Unfair Claims Practice	Additional Money Received	Justified	9068	18-10-2017
Teachers Insurance Company	07-20-2016	Unfair Claims Practice	Contract Provision	Furnished Information	21059	07-09-2015
Pruco Life Insurance Company	07-28-2016	Unfair Claims Practice	Claim Settled	Justified	9056	09-09-2016
National Guardian Life Insurance Company	08-05-2016	Unfair Claims Practice	Claim Paid With Interest	Justified	9074	17-04-2017
Dairyland Insurance Company	08-18-2016	Unfair Claims Practice	Claim Settled	Justified	9055	23-05-2017
Travelers Casualty Insurance Company of America	08-22-2016	Unfair Claims Practice	Corrective Action	Furnished Information	21079	15-07-2014
Universal North America Insurance Company	09-13-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11079	14-07-2017
National General Insurance Online, Inc.	02-01-2018	Unfair Claims Practice	Contract Provision	Furnished Information	21067	20-03-2015
Courtesy Insurance Company	01-30-2018	Marketing-Sales	Pol Restored-Reinstated	Voluntary Reconsider	20064	02-05-2015
Lincoln Benefit Life Company	01-17-2018	Utilization Review	Coverage Granted	Furnished Information	21059	06-09-2013
Life Insurance Company of North America	09-14-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21074	15-01-2015
New London County Mutual Insurance Company	09-19-2016	Underwriting	Company Position Upheld	Unjustified	11080	19-11-2014
Employers Mutual Casualty Company	09-23-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21069	21-07-2013
Middlesex Mutual Assurance Company	02-21-2018	Unfair Claims Practice	Corrective Action	Justified	9066	28-08-2016
Sentry Select Insurance Company	10-13-2016	Unfair Claims Practice	External Review Info Sent	Furnished Information	21071	24-10-2015
Travelers Personal Security Insurance Company	10-27-2016	Unfair Claims Practice	Claim Paid With Interest	Justified	9084	01-01-2015
Hartford Life and Accident Insurance Company	01-09-2018	Unfair Claims Practice	Coverage Denied	Unjustified	11069	05-02-2015
Travelers Property Casualty Company of America	11-09-2016	Unfair Claims Practice	Furnished Information	Justified	9077	06-05-2016
QBE Specialty Insurance Company	03-20-2018	Unfair Claims Practice	Coverage Extended	Unjustified	11063	16-11-2017
New South Insurance Company	11-22-2016	Marketing-Sales	Company Position Upheld	Furnished Information	21065	13-01-2014
Hartford Fire Insurance Company	11-28-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21067	21-11-2015
Esurance Insurance Company	11-29-2016	Unfair Claims Practice	Insufficient Information	Furnished Information	21065	28-11-2017
Progressive Northern Insurance Company	03-28-2018	FOI Inquiry	Record Only	No Action Necessary	19064	18-06-2013
Massachusetts Bay Insurance Company	12-06-2016	Unfair Claims Practice	Coverage Granted	Voluntary Reconsider	20061	12-04-2015
Infinity Standard Insurance Company	12-27-2016	Unfair Claims Practice	Contract Provision	Furnished Information	21068	04-11-2014
Connecticut Attorneys Title Insurance Company	12-30-2016	Unfair Claims Practice	Furnished Information	Furnished Information	21081	14-07-2017
Connecticut FAIR Plan	01-09-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21052	13-03-2016
Connecticut General Life Insurance Company	01-09-2018	Unfair Claims Practice	Coverage Denied	Unjustified	11067	23-02-2017
Connecticut Medical Insurance Company	01-24-2017	Unfair Claims Practice	Claim Settled	Justified	9065	16-01-2014
Constitution Life Insurance Company	01-27-2017	Unfair Claims Practice	Company Position Upheld	Furnished Information	21073	01-04-2016
Continental American Insurance Company	02-08-2017	Unfair Claims Practice	Furnished Information	Voluntary Reconsider	20069	30-05-2013
United Ohio Insurance Company	03-07-2018	Premium and Rating	Contract Provision	Unjustified	11057	17-05-2017
Crum & Forster Specialty Insurance Company	02-22-2017	Unfair Claims Practice	Contract Provision	Furnished Information	21075	15-11-2015
Danbury Insurance Company	03-10-2017	Unfair Claims Practice	Complaint Withdrawn	No Action Necessary	19054	22-11-2016
Dealers Assurance Company	03-15-2017	Unfair Claims Practice	Furnished Information	Furnished Information	21061	22-03-2013
Dearborn National Life Insurance Company	03-16-2017	Unfair Claims Practice	Claim Paid With Interest	Justified	9079	14-05-2016
Delaware Life Insurance Company	03-27-2017	Unfair Claims Practice	Claim Settled	Voluntary Reconsider	20059	02-09-2016
Dentegra Insurance Company	03-28-2017	Marketing-Sales	Company Position Upheld	Unjustified	11064	21-09-2015
Depositors Insurance Company	04-18-2017	Unfair Claims Practice	Record Only	No Action Necessary	19054	17-09-2013
Diamond State Insurance Company	04-05-2018	Premium and Rating	Rate Increase Explained	Furnished Information	21064	10-08-2016
Economy Fire & Casualty Company	04-20-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21059	18-05-2014
Economy Premier Assurance Company	05-30-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21061	15-01-2016
Electric Insurance Company	05-31-2017	Unfair Claims Practice	Provider Issue	Furnished Information	21055	30-01-2014
Elite Transportation Risk Retention Group, Inc.	06-05-2017	Unfair Claims Practice	Claim Settled	Justified	9070	19-12-2013
Gerber Life Insurance Company	12-21-2017	Unfair Claims Practice	Refer-Judicial-Attorney	Justified	9067	16-08-2016
Encompass Insurance Company of America	06-14-2017	Unfair Claims Practice	Claim Settled	Justified	9066	28-12-2015
Equitrust Life Insurance Company	06-28-2017	Unfair Claims Practice	Contract Provision	Furnished Information	21065	26-04-2016
Erie Insurance Exchange	03-22-2018	Premium and Rating	Furnished Information	Furnished Information	21059	03-02-2013
Essex Insurance Company	09-25-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21051	21-02-2014
Evanston Insurance Company	01-24-2018	Unfair Claims Practice	Coverage Granted	Justified	9057	10-04-2014
Everest National Insurance Company	03-23-2018	Unfair Claims Practice	Claim Settled	Justified	9062	05-09-2013
Excelsior Insurance Company	07-18-2017	Unfair Claims Practice	Provider Issue	Furnished Information	21056	26-03-2017
Executive Risk Specialty Insurance Company	07-31-2017	Unfair Claims Practice	Claim Settled	Furnished Information	21070	03-04-2013
Express Scripts Insurance Company	02-13-2015	Unfair Claims Practice	Contract Provision	Unjustified	11066	29-10-2016
Fairmont Specialty Insurance Company	05-02-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11068	04-01-2014
Farmers Insurance Exchange	05-25-2017	Unfair Claims Practice	Contract Provision	Unjustified	11059	03-09-2015
Farmers Mutual Hail Insurance Company of Iowa	07-24-2017	Unfair Claims Practice	Contract Provision	Unjustified	11078	07-03-2017
Farmington Casualty Company	10-06-2016	Premium and Rating	Corrective Action	Justified	9054	29-11-2015
Federated Mutual Insurance Company	12-07-2016	Premium and Rating	Company Position Upheld	Unjustified	11067	26-01-2018
Federated Service Insurance Company	12-07-2016	Underwriting	Company Position Upheld	Unjustified	11068	26-06-2013
Fidelity & Guaranty Life Insurance Company	03-16-2017	Premium and Rating	Premium Refund	Unjustified	11071	17-07-2016
Fidelity Life Association, A Legal Reserve Life Insurance Company	06-14-2017	Premium and Rating	Company Position Upheld	Unjustified	11103	02-08-2017
Firemans Fund Insurance Company	03-12-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11064	16-05-2016
First American Title Insurance Company	01-05-2017	Unfair Claims Practice	Corrective Action	Justified	9065	26-08-2015
First Colonial Insurance Company	01-05-2017	Unfair Claims Practice	Company Position Upheld	Unjustified	11065	03-09-2015
First Health Life & Health Insurance Company	05-23-2017	Marketing-Sales	Furnished Information	Furnished Information	21080	21-03-2017
First Liberty Insurance Corporation (The)	03-12-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11074	21-12-2015
First Mercury Insurance Company	05-04-2016	Unfair Claims Practice	Company Position Upheld	Unjustified	11064	01-03-2015
FirstComp Insurance Company	09-24-2015	Underwriting	Non-Renewal Rescinded	Justified	9063	05-03-2014
Foremost Property and Casualty Insurance Company	03-21-2018	Underwriting	Corrective Action	Justified	9080	21-06-2013
Forethought Life Insurance Company	01-26-2015	Unfair Claims Practice	Contract Provision	Unjustified	11067	17-06-2015
Founders Insurance Company	02-05-2015	Unfair Claims Practice	Claim Settled	No Action Necessary	19049	06-01-2017
Prudential Insurance Company of America	01-11-2018	Marketing-Sales	Corrective Action	Justified	9066	23-03-2017
General American Life Insurance Company	09-15-2016	Unfair Claims Practice	Corrective Action	Justified	9071	20-10-2017
General Casualty Company of Wisconsin	12-20-2016	Marketing-Sales	Contract Provision	Unjustified	11070	28-04-2014
Generali - U.S. Branch	01-09-2018	Underwriting	Cancellation Upheld	Unjustified	11051	20-12-2015
Sirius America Insurance Company	04-22-2015	Marketing-Sales	Corrective Action	Unjustified	11064	31-12-2017
Atlantic Mutual Insurance Company	06-04-2015	Marketing-Sales	Company Position Upheld	Unjustified	11066	31-10-2013
Global Liberty Insurance Company of New York	09-18-2015	Marketing-Sales	Contract Provision	Unjustified	11077	26-03-2014
Transamerica Premier LIfe Insurance Company	04-12-2016	Marketing-Sales	Company Position Upheld	Unjustified	11076	07-03-2017
Privilege Underwriters Reciprocal Exchange	04-29-2016	Marketing-Sales	Corrective Action	Questionable	12074	21-11-2015
Talcott Resolution Life and Annuity Insurance Company	06-09-2016	Marketing-Sales	Company Position Upheld	Unjustified	11086	13-09-2016
Talcott Resolution Life Insurance Company	06-09-2016	Marketing-Sales	Company Position Upheld	Unjustified	11074	10-01-2013
Government Personnel Mutual Life Insurance Company	01-09-2017	Premium and Rating	Contract Provision	Unjustified	11078	19-04-2016
Granite State Insurance Company	01-18-2017	Marketing-Sales	Corrective Action	Justified	9063	17-07-2014
United of Omaha Life Insurance Company	01-23-2017	Marketing-Sales	Company Position Upheld	Unjustified	11076	30-07-2013
Graphic Arts Mutual Insurance Company	06-09-2017	Marketing-Sales	Corrective Action	Justified	9064	30-06-2013
Great American E & S Insurance Company	06-09-2017	Marketing-Sales	Corrective Action	Justified	9064	24-02-2016
Great American Insurance Company	04-01-2016	Marketing-Sales	No Cause For Action	No Action Necessary	19061	07-04-2017
Great American Insurance Company of New York	03-21-2018	Underwriting	Corrective Action	Justified	9076	11-05-2017
Great American Life Insurance Company	12-06-2016	Underwriting	Cancellation Upheld	Unjustified	11066	05-04-2013
Great Lakes Insurance SE	06-30-2017	Premium and Rating	Company Position Upheld	Unjustified	11061	06-07-2013
Great Southern Life Insurance Company	12-23-2014	Premium and Rating	Contract Provision	Unjustified	11070	11-04-2014
Great West Casualty Company	12-23-2014	Marketing-Sales	Company Position Upheld	Unjustified	11065	21-02-2013
Greater New York Mutual Insurance Company	12-31-2014	Premium and Rating	Corrective Action	Justified	9073	13-09-2015
Greenwich Insurance Company	01-06-2015	Premium and Rating	Premium Refund	Unjustified	11051	16-07-2015
Republic-Franklin Insurance Company	02-06-2015	Marketing-Sales	Additional Money Received	Unjustified	11070	31-08-2016
Harco National Insurance Company	02-06-2015	Premium and Rating	Company Position Upheld	Unjustified	11065	01-05-2016
Harleysville Insurance Company	02-06-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11063	13-01-2017
Harleysville Mutual Insurance Company	03-06-2015	Underwriting	Cancellation Upheld	Unjustified	11066	31-10-2015
Hartford Accident and Indemnity Company	03-06-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11072	22-07-2017
Hartford Insurance Company of Illinois	03-12-2015	Marketing-Sales	Premium Refund	Unjustified	11062	21-07-2016
RLI Insurance Company	03-20-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11059	25-10-2016
HDI Global Insurance Company	03-23-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11066	05-01-2015
HealthyCT, Inc.	03-30-2015	Unfair Claims Practice	Company Position Upheld	Unjustified	11053	24-11-2013
